[COT 2020-06-29 20:50:54] Offline: Spawned Entity HoneyBadger Compensator (TD_HoneyBadger_Compensator, -1, 40) at <8945.500000, 3.738112, 4815.899902>
[COT 2020-06-29 20:50:57] Offline: Spawned Entity Honey Badger (TD_HoneyBadger, -1, 250) at <8945.500000, 4.023761, 4815.899902>
[COT 2020-06-29 20:50:59] Offline: Spawned Entity HoneyBadger Magazine (TD_Mag_HoneyBadger_30Rnd, 1, 350) at <8945.500000, 4.029963, 4815.899902>
[COT 2020-06-29 20:51:01] Offline: Spawned Entity HoneyBadger Extended Magazine (TD_Mag_HoneyBadger_45Rnd, 1, 350) at <8945.500000, 4.227394, 4815.899902>
[COT 2020-06-29 20:51:03] Offline: Spawned Entity HoneyBadger Extended Magazine (TD_Mag_HoneyBadger_30Rnd_Coupled, 1, 350) at <8945.500000, 4.227394, 4815.899902>
[COT 2020-06-29 20:51:07] Offline: Spawned Entity HoneyBadger Compensator (TD_HoneyBadger_Compensator, -1, 40) at <8945.500000, 3.738112, 4815.899902>
[COT 2020-06-29 20:51:08] Offline: Spawned Entity Honey Badger (TD_HoneyBadger, -1, 250) at <8945.500000, 4.023761, 4815.899902>
[COT 2020-06-29 20:51:10] Offline: Spawned Entity HoneyBadger Magazine (TD_Mag_HoneyBadger_30Rnd, 1, 350) at <8945.500000, 4.029963, 4815.899902>
[COT 2020-06-29 20:51:11] Offline: Spawned Entity HoneyBadger Extended Magazine (TD_Mag_HoneyBadger_45Rnd, 1, 350) at <8945.500000, 4.227394, 4815.899902>
[COT 2020-06-29 20:51:13] Offline: Spawned Entity HoneyBadger Extended Magazine (TD_Mag_HoneyBadger_30Rnd_Coupled, 1, 350) at <8945.500000, 4.227394, 4815.899902>
[COT 2020-06-29 20:56:08] Offline: Spawned Entity Baraka Sights (ReflexOptic, -1, 30) at <8942.397461, 3.882316, 4807.428223>
[COT 2020-06-29 20:56:12] Offline: Spawned Entity 9V Battery (Battery9V, 50, 20) at <8942.397461, 3.798585, 4807.428223>
[COT 2020-06-29 20:57:28] Offline: Spawned Entity Ghillie Rifle Wrap (GhillieAtt_Mossy, -1, 300) at <8942.676758, 4.089447, 4808.683105>
